Year,TER,Units,Territorio,Comarca,Municipio,GeoCode,Value
2010,TRT_FV,W_PER_CAPITA,ES211,,,ES211,341.01
2011,TRT_FV,W_PER_CAPITA,ES211,,,ES211,349.78
2012,TRT_FV,W_PER_CAPITA,ES211,,,ES211,357.48
2013,TRT_FV,W_PER_CAPITA,ES211,,,ES211,374.71
2014,TRT_FV,W_PER_CAPITA,ES211,,,ES211,377.25
2015,TRT_FV,W_PER_CAPITA,ES211,,,ES211,376.6
2016,TRT_FV,W_PER_CAPITA,ES211,,,ES211,376.31
2017,TRT_FV,W_PER_CAPITA,ES211,,,ES211,374.27
2018,TRT_FV,W_PER_CAPITA,ES211,,,ES211,386.35
2019,TRT_FV,W_PER_CAPITA,ES211,,,ES211,432.45
2010,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,705.48
2011,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,685.07
2012,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,691.1
2013,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,674.84
2014,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,684.39
2015,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,690.87
2016,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,678.61
2017,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,670.24
2018,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,686.5
2019,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,686.62
2020,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,712.22
2021,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,715.64
2022,TRT_FV,W_PER_CAPITA,,,ES01001,ES01001,733.88
2010,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,106.28
2011,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,106.33
2012,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,105.59
2013,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,104.77
2014,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,104.78
2015,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,104.47
2016,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,104.35
2017,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,103.9
2018,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,122.66
2019,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,135.43
2020,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,139.81
2021,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,186.39
2022,TRT_FV,W_PER_CAPITA,,,ES01002,ES01002,198.38
2010,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,92.29
2011,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,91.09
2012,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,132.94
2013,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,134.07
2014,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,129.03
2015,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,134.34
2016,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,139.66
2017,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,139.38
2018,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,306.77
2019,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,312.16
2020,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,333.11
2021,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,409
2022,TRT_FV,W_PER_CAPITA,,,ES01003,ES01003,525.29
2010,TRT_FV,W_PER_CAPITA,,,ES01004,ES01004,0
