Year,Series,Sex,Cobertura,Residencia,Discapacidad,Province,County,Municipality,Units,GeoCode,Value
2022,EU_COV_PENSN,,,,,,,,Percentage,,25.7
2023,EU_COV_PENSN,,,,,,,,Percentage,,25.7
2023,EU_COV_PENSN,,,,,,,Abadiño,Percentage,Abadiño,24.4
2022,EU_COV_PENSN,,,,,,,Abadiño,Percentage,Abadiño,24.4
2023,EU_COV_PENSN,,,,,,,Abaltzisketa,Percentage,Abaltzisketa,21.8
2022,EU_COV_PENSN,,,,,,,Abaltzisketa,Percentage,Abaltzisketa,23.4
2022,EU_COV_PENSN,,,,,,,Abanto y Ciérvana-Abanto Zierbena,Percentage,Abanto y Ciérvana-Abanto Zierbena,23.6
2023,EU_COV_PENSN,,,,,,,Abanto y Ciérvana-Abanto Zierbena,Percentage,Abanto y Ciérvana-Abanto Zierbena,23.9
2023,EU_COV_PENSN,,,,,,,Aduna,Percentage,Aduna,18.9
2022,EU_COV_PENSN,,,,,,,Aduna,Percentage,Aduna,19.5
2023,EU_COV_PENSN,,,,,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,21.4
2022,EU_COV_PENSN,,,,,,,Agurain/Salvatierra,Percentage,Agurain/Salvatierra,21.0
2022,EU_COV_PENSN,,,,,,,Aia,Percentage,Aia,20.1
2023,EU_COV_PENSN,,,,,,,Aia,Percentage,Aia,20.2
2023,EU_COV_PENSN,,,,,,,Aizarnazabal,Percentage,Aizarnazabal,23.1
2022,EU_COV_PENSN,,,,,,,Aizarnazabal,Percentage,Aizarnazabal,23.1
2023,EU_COV_PENSN,,,,,,,Ajangiz,Percentage,Ajangiz,27.2
2022,EU_COV_PENSN,,,,,,,Ajangiz,Percentage,Ajangiz,27.4
2022,EU_COV_PENSN,,,,,,,Albiztur,Percentage,Albiztur,27.9
2023,EU_COV_PENSN,,,,,,,Albiztur,Percentage,Albiztur,26.5
2022,EU_COV_PENSN,,,,,,,Alegia,Percentage,Alegia,25.3
2023,EU_COV_PENSN,,,,,,,Alegia,Percentage,Alegia,24.6
2022,EU_COV_PENSN,,,,,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,13.3
2023,EU_COV_PENSN,,,,,,,Alegría-Dulantzi,Percentage,Alegría-Dulantzi,13.6
2022,EU_COV_PENSN,,,,,,,Alkiza,Percentage,Alkiza,24.5
2023,EU_COV_PENSN,,,,,,,Alkiza,Percentage,Alkiza,24.2
2023,EU_COV_PENSN,,,,,,,Alonsotegi,Percentage,Alonsotegi,25.8
2022,EU_COV_PENSN,,,,,,,Alonsotegi,Percentage,Alonsotegi,25.8
2023,EU_COV_PENSN,,,,,,,Altzaga,Percentage,Altzaga,22.9
2022,EU_COV_PENSN,,,,,,,Altzaga,Percentage,Altzaga,22.2
2023,EU_COV_PENSN,,,,,,,Altzo,Percentage,Altzo,23.1
2022,EU_COV_PENSN,,,,,,,Altzo,Percentage,Altzo,23.1
2022,EU_COV_PENSN,,,,,,,Amezketa,Percentage,Amezketa,29.5
2023,EU_COV_PENSN,,,,,,,Amezketa,Percentage,Amezketa,30.6
2022,EU_COV_PENSN,,,,,,,Amorebieta-Etxano,Percentage,Amorebieta-Etxano,23.0
2023,EU_COV_PENSN,,,,,,,Amorebieta-Etxano,Percentage,Amorebieta-Etxano,23.2
2023,EU_COV_PENSN,,,,,,,Amoroto,Percentage,Amoroto,34.5
2022,EU_COV_PENSN,,,,,,,Amoroto,Percentage,Amoroto,32.1
2023,EU_COV_PENSN,,,,,,,Amurrio,Percentage,Amurrio,24.9
2022,EU_COV_PENSN,,,,,,,Amurrio,Percentage,Amurrio,24.7
2023,EU_COV_PENSN,,,,,,,Andoain,Percentage,Andoain,26.2
2022,EU_COV_PENSN,,,,,,,Andoain,Percentage,Andoain,26.2
2023,EU_COV_PENSN,,,,,,,Anoeta,Percentage,Anoeta,21.8
2022,EU_COV_PENSN,,,,,,,Anoeta,Percentage,Anoeta,21.5
2023,EU_COV_PENSN,,,,,,,Antzuola,Percentage,Antzuola,24.6
2022,EU_COV_PENSN,,,,,,,Antzuola,Percentage,Antzuola,24.4
2022,EU_COV_PENSN,,,,,,,Añana,Percentage,Añana,20.8
2023,EU_COV_PENSN,,,,,,,Añana,Percentage,Añana,19.1
2022,EU_COV_PENSN,,,,,,,Arakaldo,Percentage,Arakaldo,12.4
2023,EU_COV_PENSN,,,,,,,Arakaldo,Percentage,Arakaldo,12.4
2022,EU_COV_PENSN,,,,,,,Arama,Percentage,Arama,22.2
2023,EU_COV_PENSN,,,,,,,Arama,Percentage,Arama,22.6
2023,EU_COV_PENSN,,,,,,,Aramaio,Percentage,Aramaio,28.8
2022,EU_COV_PENSN,,,,,,,Aramaio,Percentage,Aramaio,29.3
2023,EU_COV_PENSN,,,,,,,Arantzazu,Percentage,Arantzazu,19.9
2022,EU_COV_PENSN,,,,,,,Arantzazu,Percentage,Arantzazu,20.0
2023,EU_COV_PENSN,,,,,,,Areatza,Percentage,Areatza,22.7
2022,EU_COV_PENSN,,,,,,,Areatza,Percentage,Areatza,22.8
2022,EU_COV_PENSN,,,,,,,Aretxabaleta,Percentage,Aretxabaleta,26.6
2023,EU_COV_PENSN,,,,,,,Aretxabaleta,Percentage,Aretxabaleta,26.8
2023,EU_COV_PENSN,,,,,,,Armiñón,Percentage,Armiñón,23.1
2022,EU_COV_PENSN,,,,,,,Armiñón,Percentage,Armiñón,23.2
2023,EU_COV_PENSN,,,,,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,23.7
2022,EU_COV_PENSN,,,,,,,Arraia-Maeztu,Percentage,Arraia-Maeztu,24.5
2022,EU_COV_PENSN,,,,,,,Arrankudiaga-Zollo,Percentage,Arrankudiaga-Zollo,21.2
2023,EU_COV_PENSN,,,,,,,Arrankudiaga-Zollo,Percentage,Arrankudiaga-Zollo,21.6
2022,EU_COV_PENSN,,,,,,,Arrasate/Mondragón,Percentage,Arrasate/Mondragón,31.3
2023,EU_COV_PENSN,,,,,,,Arrasate/Mondragón,Percentage,Arrasate/Mondragón,31.2
2023,EU_COV_PENSN,,,,,,,Arratzu,Percentage,Arratzu,29.8
2022,EU_COV_PENSN,,,,,,,Arratzu,Percentage,Arratzu,30.0
2023,EU_COV_PENSN,,,,,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,24.0
2022,EU_COV_PENSN,,,,,,,Arratzua-Ubarrundia,Percentage,Arratzua-Ubarrundia,23.6
2022,EU_COV_PENSN,,,,,,,Arrieta,Percentage,Arrieta,23.7
2023,EU_COV_PENSN,,,,,,,Arrieta,Percentage,Arrieta,25.2
2022,EU_COV_PENSN,,,,,,,Arrigorriaga,Percentage,Arrigorriaga,19.8
2023,EU_COV_PENSN,,,,,,,Arrigorriaga,Percentage,Arrigorriaga,20.1
2022,EU_COV_PENSN,,,,,,,Artea,Percentage,Artea,22.6
2023,EU_COV_PENSN,,,,,,,Artea,Percentage,Artea,22.5
2023,EU_COV_PENSN,,,,,,,Artzentales,Percentage,Artzentales,27.6
2022,EU_COV_PENSN,,,,,,,Artzentales,Percentage,Artzentales,28.9
2022,EU_COV_PENSN,,,,,,,Artziniega,Percentage,Artziniega,19.1
2023,EU_COV_PENSN,,,,,,,Artziniega,Percentage,Artziniega,18.6
2022,EU_COV_PENSN,,,,,,,Asparrena,Percentage,Asparrena,23.3
2023,EU_COV_PENSN,,,,,,,Asparrena,Percentage,Asparrena,24.0
2022,EU_COV_PENSN,,,,,,,Asteasu,Percentage,Asteasu,22.1
2023,EU_COV_PENSN,,,,,,,Asteasu,Percentage,Asteasu,22.5
2022,EU_COV_PENSN,,,,,,,Astigarraga,Percentage,Astigarraga,13.9
2023,EU_COV_PENSN,,,,,,,Astigarraga,Percentage,Astigarraga,13.9
2022,EU_COV_PENSN,,,,,,,Ataun,Percentage,Ataun,26.3
2023,EU_COV_PENSN,,,,,,,Ataun,Percentage,Ataun,26.2
2022,EU_COV_PENSN,,,,,,,Atxondo,Percentage,Atxondo,29.4
2023,EU_COV_PENSN,,,,,,,Atxondo,Percentage,Atxondo,29.1
2022,EU_COV_PENSN,,,,,,,Aulesti,Percentage,Aulesti,31.7
2023,EU_COV_PENSN,,,,,,,Aulesti,Percentage,Aulesti,32.4
2022,EU_COV_PENSN,,,,,,,Ayala/Aiara,Percentage,Ayala/Aiara,19.4
2023,EU_COV_PENSN,,,,,,,Ayala/Aiara,Percentage,Ayala/Aiara,19.5
2023,EU_COV_PENSN,,,,,,,Azkoitia,Percentage,Azkoitia,22.3
2022,EU_COV_PENSN,,,,,,,Azkoitia,Percentage,Azkoitia,22.4
2023,EU_COV_PENSN,,,,,,,Azpeitia,Percentage,Azpeitia,24.1
2022,EU_COV_PENSN,,,,,,,Azpeitia,Percentage,Azpeitia,24.0
2022,EU_COV_PENSN,,,,,,,Bakio,Percentage,Bakio,17.1
2023,EU_COV_PENSN,,,,,,,Bakio,Percentage,Bakio,17.1
2023,EU_COV_PENSN,,,,,,,Baliarrain,Percentage,Baliarrain,10.4
2022,EU_COV_PENSN,,,,,,,Baliarrain,Percentage,Baliarrain,11.6
2023,EU_COV_PENSN,,,,,,,Balmaseda,Percentage,Balmaseda,25.9
2022,EU_COV_PENSN,,,,,,,Balmaseda,Percentage,Balmaseda,25.5
2023,EU_COV_PENSN,,,,,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,22.4
2022,EU_COV_PENSN,,,,,,,Baños de Ebro/Mañueta,Percentage,Baños de Ebro/Mañueta,22.6
2023,EU_COV_PENSN,,,,,,,Barakaldo,Percentage,Barakaldo,25.7
2022,EU_COV_PENSN,,,,,,,Barakaldo,Percentage,Barakaldo,25.8
2023,EU_COV_PENSN,,,,,,,Barrika,Percentage,Barrika,21.3
2022,EU_COV_PENSN,,,,,,,Barrika,Percentage,Barrika,20.4
2022,EU_COV_PENSN,,,,,,,Barrundia,Percentage,Barrundia,23.0
2023,EU_COV_PENSN,,,,,,,Barrundia,Percentage,Barrundia,23.0
2023,EU_COV_PENSN,,,,,,,Basauri,Percentage,Basauri,29.5
2022,EU_COV_PENSN,,,,,,,Basauri,Percentage,Basauri,29.5
2022,EU_COV_PENSN,,,,,,,Beasain,Percentage,Beasain,24.3
2023,EU_COV_PENSN,,,,,,,Beasain,Percentage,Beasain,24.6
2022,EU_COV_PENSN,,,,,,,Bedia,Percentage,Bedia,24.6
2023,EU_COV_PENSN,,,,,,,Bedia,Percentage,Bedia,23.8
2022,EU_COV_PENSN,,,,,,,Beizama,Percentage,Beizama,21.4
2023,EU_COV_PENSN,,,,,,,Beizama,Percentage,Beizama,20.6
2022,EU_COV_PENSN,,,,,,,Belauntza,Percentage,Belauntza,28.5
2023,EU_COV_PENSN,,,,,,,Belauntza,Percentage,Belauntza,27.3
2023,EU_COV_PENSN,,,,,,,Berango,Percentage,Berango,18.7
2022,EU_COV_PENSN,,,,,,,Berango,Percentage,Berango,18.5
2023,EU_COV_PENSN,,,,,,,Berantevilla,Percentage,Berantevilla,23.6
2022,EU_COV_PENSN,,,,,,,Berantevilla,Percentage,Berantevilla,23.0
2023,EU_COV_PENSN,,,,,,,Berastegi,Percentage,Berastegi,29.2
2022,EU_COV_PENSN,,,,,,,Berastegi,Percentage,Berastegi,27.6
2023,EU_COV_PENSN,,,,,,,Bergara,Percentage,Bergara,29.1
2022,EU_COV_PENSN,,,,,,,Bergara,Percentage,Bergara,29.2
2022,EU_COV_PENSN,,,,,,,Bermeo,Percentage,Bermeo,30.8
2023,EU_COV_PENSN,,,,,,,Bermeo,Percentage,Bermeo,30.4
2022,EU_COV_PENSN,,,,,,,Bernedo,Percentage,Bernedo,26.9
2023,EU_COV_PENSN,,,,,,,Bernedo,Percentage,Bernedo,27.2
2022,EU_COV_PENSN,,,,,,,Berriatua,Percentage,Berriatua,29.0
2023,EU_COV_PENSN,,,,,,,Berriatua,Percentage,Berriatua,29.3
