Year,Value,Units,Series
2010,14.2,Tons per capita,Domestic material consumption per capita
2011,10.7,Tons per capita,Domestic material consumption per capita
2012,9.68,Tons per capita,Domestic material consumption per capita
2013,8.35,Tons per capita,Domestic material consumption per capita
2014,9.03,Tons per capita,Domestic material consumption per capita
2015,10.95,Tons per capita,Domestic material consumption per capita
2016,9.89,Tons per capita,Domestic material consumption per capita
2017,12.24,Tons per capita,Domestic material consumption per capita
2018,13.04,Tons per capita,Domestic material consumption per capita
2019,12.55,Tons per capita,Domestic material consumption per capita
2020,10.46,Tons per capita,Domestic material consumption per capita
2010,456.31,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2011,343.62,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2012,317.28,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2013,277.83,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2014,295.31,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2015,347.39,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2016,303.97,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2017,366.79,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2018,379.67,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2019,358.96,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2020,332.61,Kg per 1.000 euro of GDP,Domestic material consumption per GDP
2010,30845.48,Kilotons,Domestic material consumption
2011,23308.77,Kilotons,Domestic material consumption
2012,21098.56,Kilotons,Domestic material consumption
2013,18163.85,Kilotons,Domestic material consumption
2014,19620.03,Kilotons,Domestic material consumption
2015,23794.72,Kilotons,Domestic material consumption
2016,21507.87,Kilotons,Domestic material consumption
2017,26656.58,Kilotons,Domestic material consumption
2018,28476.48,Kilotons,Domestic material consumption
2019,27538.26,Kilotons,Domestic material consumption
2020,22964.87,Kilotons,Domestic material consumption
