Year,Series,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,EU_COV_PENSN,,,,,,,,Porcentaje,,25.7
2023,EU_COV_PENSN,,,,,,,,Porcentaje,,25.7
2023,EU_COV_PENSN,,,,,,,Abadiño,Porcentaje,Abadiño,24.4
2022,EU_COV_PENSN,,,,,,,Abadiño,Porcentaje,Abadiño,24.4
2023,EU_COV_PENSN,,,,,,,Abaltzisketa,Porcentaje,Abaltzisketa,21.8
2022,EU_COV_PENSN,,,,,,,Abaltzisketa,Porcentaje,Abaltzisketa,23.4
2022,EU_COV_PENSN,,,,,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,23.6
2023,EU_COV_PENSN,,,,,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,23.9
2023,EU_COV_PENSN,,,,,,,Aduna,Porcentaje,Aduna,18.9
2022,EU_COV_PENSN,,,,,,,Aduna,Porcentaje,Aduna,19.5
2023,EU_COV_PENSN,,,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,21.4
2022,EU_COV_PENSN,,,,,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,21.0
2022,EU_COV_PENSN,,,,,,,Aia,Porcentaje,Aia,20.1
2023,EU_COV_PENSN,,,,,,,Aia,Porcentaje,Aia,20.2
2023,EU_COV_PENSN,,,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,23.1
2022,EU_COV_PENSN,,,,,,,Aizarnazabal,Porcentaje,Aizarnazabal,23.1
2023,EU_COV_PENSN,,,,,,,Ajangiz,Porcentaje,Ajangiz,27.2
2022,EU_COV_PENSN,,,,,,,Ajangiz,Porcentaje,Ajangiz,27.4
2022,EU_COV_PENSN,,,,,,,Albiztur,Porcentaje,Albiztur,27.9
2023,EU_COV_PENSN,,,,,,,Albiztur,Porcentaje,Albiztur,26.5
2022,EU_COV_PENSN,,,,,,,Alegia,Porcentaje,Alegia,25.3
2023,EU_COV_PENSN,,,,,,,Alegia,Porcentaje,Alegia,24.6
2022,EU_COV_PENSN,,,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,13.3
2023,EU_COV_PENSN,,,,,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,13.6
2022,EU_COV_PENSN,,,,,,,Alkiza,Porcentaje,Alkiza,24.5
2023,EU_COV_PENSN,,,,,,,Alkiza,Porcentaje,Alkiza,24.2
2023,EU_COV_PENSN,,,,,,,Alonsotegi,Porcentaje,Alonsotegi,25.8
2022,EU_COV_PENSN,,,,,,,Alonsotegi,Porcentaje,Alonsotegi,25.8
2023,EU_COV_PENSN,,,,,,,Altzaga,Porcentaje,Altzaga,22.9
2022,EU_COV_PENSN,,,,,,,Altzaga,Porcentaje,Altzaga,22.2
2023,EU_COV_PENSN,,,,,,,Altzo,Porcentaje,Altzo,23.1
2022,EU_COV_PENSN,,,,,,,Altzo,Porcentaje,Altzo,23.1
2022,EU_COV_PENSN,,,,,,,Amezketa,Porcentaje,Amezketa,29.5
2023,EU_COV_PENSN,,,,,,,Amezketa,Porcentaje,Amezketa,30.6
2022,EU_COV_PENSN,,,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,23.0
2023,EU_COV_PENSN,,,,,,,Amorebieta-Etxano,Porcentaje,Amorebieta-Etxano,23.2
2023,EU_COV_PENSN,,,,,,,Amoroto,Porcentaje,Amoroto,34.5
2022,EU_COV_PENSN,,,,,,,Amoroto,Porcentaje,Amoroto,32.1
2023,EU_COV_PENSN,,,,,,,Amurrio,Porcentaje,Amurrio,24.9
2022,EU_COV_PENSN,,,,,,,Amurrio,Porcentaje,Amurrio,24.7
2023,EU_COV_PENSN,,,,,,,Andoain,Porcentaje,Andoain,26.2
2022,EU_COV_PENSN,,,,,,,Andoain,Porcentaje,Andoain,26.2
2023,EU_COV_PENSN,,,,,,,Anoeta,Porcentaje,Anoeta,21.8
2022,EU_COV_PENSN,,,,,,,Anoeta,Porcentaje,Anoeta,21.5
2023,EU_COV_PENSN,,,,,,,Antzuola,Porcentaje,Antzuola,24.6
2022,EU_COV_PENSN,,,,,,,Antzuola,Porcentaje,Antzuola,24.4
2022,EU_COV_PENSN,,,,,,,Añana,Porcentaje,Añana,20.8
2023,EU_COV_PENSN,,,,,,,Añana,Porcentaje,Añana,19.1
2022,EU_COV_PENSN,,,,,,,Arakaldo,Porcentaje,Arakaldo,12.4
2023,EU_COV_PENSN,,,,,,,Arakaldo,Porcentaje,Arakaldo,12.4
2022,EU_COV_PENSN,,,,,,,Arama,Porcentaje,Arama,22.2
2023,EU_COV_PENSN,,,,,,,Arama,Porcentaje,Arama,22.6
2023,EU_COV_PENSN,,,,,,,Aramaio,Porcentaje,Aramaio,28.8
2022,EU_COV_PENSN,,,,,,,Aramaio,Porcentaje,Aramaio,29.3
2023,EU_COV_PENSN,,,,,,,Arantzazu,Porcentaje,Arantzazu,19.9
2022,EU_COV_PENSN,,,,,,,Arantzazu,Porcentaje,Arantzazu,20.0
2023,EU_COV_PENSN,,,,,,,Areatza,Porcentaje,Areatza,22.7
2022,EU_COV_PENSN,,,,,,,Areatza,Porcentaje,Areatza,22.8
2022,EU_COV_PENSN,,,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,26.6
2023,EU_COV_PENSN,,,,,,,Aretxabaleta,Porcentaje,Aretxabaleta,26.8
2023,EU_COV_PENSN,,,,,,,Armiñón,Porcentaje,Armiñón,23.1
2022,EU_COV_PENSN,,,,,,,Armiñón,Porcentaje,Armiñón,23.2
2023,EU_COV_PENSN,,,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,23.7
2022,EU_COV_PENSN,,,,,,,Arraia-Maeztu,Porcentaje,Arraia-Maeztu,24.5
2022,EU_COV_PENSN,,,,,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,21.2
2023,EU_COV_PENSN,,,,,,,Arrankudiaga-Zollo,Porcentaje,Arrankudiaga-Zollo,21.6
2022,EU_COV_PENSN,,,,,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,31.3
2023,EU_COV_PENSN,,,,,,,Arrasate/Mondragón,Porcentaje,Arrasate/Mondragón,31.2
2023,EU_COV_PENSN,,,,,,,Arratzu,Porcentaje,Arratzu,29.8
2022,EU_COV_PENSN,,,,,,,Arratzu,Porcentaje,Arratzu,30.0
2023,EU_COV_PENSN,,,,,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,24.0
2022,EU_COV_PENSN,,,,,,,Arratzua-Ubarrundia,Porcentaje,Arratzua-Ubarrundia,23.6
2022,EU_COV_PENSN,,,,,,,Arrieta,Porcentaje,Arrieta,23.7
2023,EU_COV_PENSN,,,,,,,Arrieta,Porcentaje,Arrieta,25.2
2022,EU_COV_PENSN,,,,,,,Arrigorriaga,Porcentaje,Arrigorriaga,19.8
2023,EU_COV_PENSN,,,,,,,Arrigorriaga,Porcentaje,Arrigorriaga,20.1
2022,EU_COV_PENSN,,,,,,,Artea,Porcentaje,Artea,22.6
2023,EU_COV_PENSN,,,,,,,Artea,Porcentaje,Artea,22.5
2023,EU_COV_PENSN,,,,,,,Artzentales,Porcentaje,Artzentales,27.6
2022,EU_COV_PENSN,,,,,,,Artzentales,Porcentaje,Artzentales,28.9
2022,EU_COV_PENSN,,,,,,,Artziniega,Porcentaje,Artziniega,19.1
2023,EU_COV_PENSN,,,,,,,Artziniega,Porcentaje,Artziniega,18.6
2022,EU_COV_PENSN,,,,,,,Asparrena,Porcentaje,Asparrena,23.3
2023,EU_COV_PENSN,,,,,,,Asparrena,Porcentaje,Asparrena,24.0
2022,EU_COV_PENSN,,,,,,,Asteasu,Porcentaje,Asteasu,22.1
2023,EU_COV_PENSN,,,,,,,Asteasu,Porcentaje,Asteasu,22.5
2022,EU_COV_PENSN,,,,,,,Astigarraga,Porcentaje,Astigarraga,13.9
2023,EU_COV_PENSN,,,,,,,Astigarraga,Porcentaje,Astigarraga,13.9
2022,EU_COV_PENSN,,,,,,,Ataun,Porcentaje,Ataun,26.3
2023,EU_COV_PENSN,,,,,,,Ataun,Porcentaje,Ataun,26.2
2022,EU_COV_PENSN,,,,,,,Atxondo,Porcentaje,Atxondo,29.4
2023,EU_COV_PENSN,,,,,,,Atxondo,Porcentaje,Atxondo,29.1
2022,EU_COV_PENSN,,,,,,,Aulesti,Porcentaje,Aulesti,31.7
2023,EU_COV_PENSN,,,,,,,Aulesti,Porcentaje,Aulesti,32.4
2022,EU_COV_PENSN,,,,,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,19.4
2023,EU_COV_PENSN,,,,,,,Ayala/Aiara,Porcentaje,Ayala/Aiara,19.5
2023,EU_COV_PENSN,,,,,,,Azkoitia,Porcentaje,Azkoitia,22.3
2022,EU_COV_PENSN,,,,,,,Azkoitia,Porcentaje,Azkoitia,22.4
2023,EU_COV_PENSN,,,,,,,Azpeitia,Porcentaje,Azpeitia,24.1
2022,EU_COV_PENSN,,,,,,,Azpeitia,Porcentaje,Azpeitia,24.0
2022,EU_COV_PENSN,,,,,,,Bakio,Porcentaje,Bakio,17.1
2023,EU_COV_PENSN,,,,,,,Bakio,Porcentaje,Bakio,17.1
2023,EU_COV_PENSN,,,,,,,Baliarrain,Porcentaje,Baliarrain,10.4
2022,EU_COV_PENSN,,,,,,,Baliarrain,Porcentaje,Baliarrain,11.6
2023,EU_COV_PENSN,,,,,,,Balmaseda,Porcentaje,Balmaseda,25.9
2022,EU_COV_PENSN,,,,,,,Balmaseda,Porcentaje,Balmaseda,25.5
2023,EU_COV_PENSN,,,,,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,22.4
2022,EU_COV_PENSN,,,,,,,Baños de Ebro/Mañueta,Porcentaje,Baños de Ebro/Mañueta,22.6
2023,EU_COV_PENSN,,,,,,,Barakaldo,Porcentaje,Barakaldo,25.7
2022,EU_COV_PENSN,,,,,,,Barakaldo,Porcentaje,Barakaldo,25.8
2023,EU_COV_PENSN,,,,,,,Barrika,Porcentaje,Barrika,21.3
2022,EU_COV_PENSN,,,,,,,Barrika,Porcentaje,Barrika,20.4
2022,EU_COV_PENSN,,,,,,,Barrundia,Porcentaje,Barrundia,23.0
2023,EU_COV_PENSN,,,,,,,Barrundia,Porcentaje,Barrundia,23.0
2023,EU_COV_PENSN,,,,,,,Basauri,Porcentaje,Basauri,29.5
2022,EU_COV_PENSN,,,,,,,Basauri,Porcentaje,Basauri,29.5
2022,EU_COV_PENSN,,,,,,,Beasain,Porcentaje,Beasain,24.3
2023,EU_COV_PENSN,,,,,,,Beasain,Porcentaje,Beasain,24.6
2022,EU_COV_PENSN,,,,,,,Bedia,Porcentaje,Bedia,24.6
2023,EU_COV_PENSN,,,,,,,Bedia,Porcentaje,Bedia,23.8
2022,EU_COV_PENSN,,,,,,,Beizama,Porcentaje,Beizama,21.4
2023,EU_COV_PENSN,,,,,,,Beizama,Porcentaje,Beizama,20.6
2022,EU_COV_PENSN,,,,,,,Belauntza,Porcentaje,Belauntza,28.5
2023,EU_COV_PENSN,,,,,,,Belauntza,Porcentaje,Belauntza,27.3
2023,EU_COV_PENSN,,,,,,,Berango,Porcentaje,Berango,18.7
2022,EU_COV_PENSN,,,,,,,Berango,Porcentaje,Berango,18.5
2023,EU_COV_PENSN,,,,,,,Berantevilla,Porcentaje,Berantevilla,23.6
2022,EU_COV_PENSN,,,,,,,Berantevilla,Porcentaje,Berantevilla,23.0
2023,EU_COV_PENSN,,,,,,,Berastegi,Porcentaje,Berastegi,29.2
2022,EU_COV_PENSN,,,,,,,Berastegi,Porcentaje,Berastegi,27.6
2023,EU_COV_PENSN,,,,,,,Bergara,Porcentaje,Bergara,29.1
2022,EU_COV_PENSN,,,,,,,Bergara,Porcentaje,Bergara,29.2
2022,EU_COV_PENSN,,,,,,,Bermeo,Porcentaje,Bermeo,30.8
2023,EU_COV_PENSN,,,,,,,Bermeo,Porcentaje,Bermeo,30.4
2022,EU_COV_PENSN,,,,,,,Bernedo,Porcentaje,Bernedo,26.9
2023,EU_COV_PENSN,,,,,,,Bernedo,Porcentaje,Bernedo,27.2
2022,EU_COV_PENSN,,,,,,,Berriatua,Porcentaje,Berriatua,29.0
2023,EU_COV_PENSN,,,,,,,Berriatua,Porcentaje,Berriatua,29.3
2023,EU_COV_PENSN,,,,,,,Berriz,Porcentaje,Berriz,25.0
2022,EU_COV_PENSN,,,,,,,Berriz,Porcentaje,Berriz,25.0
2022,EU_COV_PENSN,,,,,,,Berrobi,Porcentaje,Berrobi,21.1
2023,EU_COV_PENSN,,,,,,,Berrobi,Porcentaje,Berrobi,22.2
2023,EU_COV_PENSN,,,,,,,Bidania-Goiatz,Porcentaje,Bidania-Goiatz,23.8
2022,EU_COV_PENSN,,,,,,,Bidania-Goiatz,Porcentaje,Bidania-Goiatz,24.0
2023,EU_COV_PENSN,,,,,,,Bilbao,Porcentaje,Bilbao,26.9
2022,EU_COV_PENSN,,,,,,,Bilbao,Porcentaje,Bilbao,27.1
2022,EU_COV_PENSN,,,,,,,Busturia,Porcentaje,Busturia,28.8
2023,EU_COV_PENSN,,,,,,,Busturia,Porcentaje,Busturia,28.4
2023,EU_COV_PENSN,,,,,,,Campezo/Kanpezu,Porcentaje,Campezo/Kanpezu,28.9
2022,EU_COV_PENSN,,,,,,,Campezo/Kanpezu,Porcentaje,Campezo/Kanpezu,28.2
2023,EU_COV_PENSN,,,,,,,Deba,Porcentaje,Deba,27.1
2022,EU_COV_PENSN,,,,,,,Deba,Porcentaje,Deba,27.0
2023,EU_COV_PENSN,,,,,,,Derio,Porcentaje,Derio,21.0
2022,EU_COV_PENSN,,,,,,,Derio,Porcentaje,Derio,21.0
2023,EU_COV_PENSN,,,,,,,Dima,Porcentaje,Dima,21.5
2022,EU_COV_PENSN,,,,,,,Dima,Porcentaje,Dima,21.2
2022,EU_COV_PENSN,,,,,,,Donostia / San Sebastián,Porcentaje,Donostia / San Sebastián,28.0
2023,EU_COV_PENSN,,,,,,,Donostia / San Sebastián,Porcentaje,Donostia / San Sebastián,28.0
2022,EU_COV_PENSN,,,,,,,Durango,Porcentaje,Durango,22.7
2023,EU_COV_PENSN,,,,,,,Durango,Porcentaje,Durango,22.9
