Year,Series,Units,Value
2010,Consumo material interno per cápita,toneladas per capita,14.2
2011,Consumo material interno per cápita,toneladas per capita,10.7
2012,Consumo material interno per cápita,toneladas per capita,9.68
2013,Consumo material interno per cápita,toneladas per capita,8.35
2014,Consumo material interno per cápita,toneladas per capita,9.03
2015,Consumo material interno per cápita,toneladas per capita,10.95
2016,Consumo material interno per cápita,toneladas per capita,9.89
2017,Consumo material interno per cápita,toneladas per capita,12.24
2018,Consumo material interno per cápita,toneladas per capita,13.04
2019,Consumo material interno per cápita,toneladas per capita,12.55
2020,Consumo material interno per cápita,toneladas per capita,10.46
2010,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,456.31
2011,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,343.62
2012,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,317.28
2013,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,277.83
2014,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,295.31
2015,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,347.39
2016,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,303.97
2017,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,366.79
2018,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,379.67
2019,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,358.96
2020,Consumo material interno por PIB,kg por cada 1.000 euros del PIB,332.61
2010,Consumo material interno en términos absolutos,Kilotoneladas,30845.48
2011,Consumo material interno en términos absolutos,Kilotoneladas,23308.77
2012,Consumo material interno en términos absolutos,Kilotoneladas,21098.56
2013,Consumo material interno en términos absolutos,Kilotoneladas,18163.85
2014,Consumo material interno en términos absolutos,Kilotoneladas,19620.03
2015,Consumo material interno en términos absolutos,Kilotoneladas,23794.72
2016,Consumo material interno en términos absolutos,Kilotoneladas,21507.87
2017,Consumo material interno en términos absolutos,Kilotoneladas,26656.58
2018,Consumo material interno en términos absolutos,Kilotoneladas,28476.48
2019,Consumo material interno en términos absolutos,Kilotoneladas,27538.26
2020,Consumo material interno en términos absolutos,Kilotoneladas,22964.87
