Year,Value,Units,Series
2010,14.2,toneladas per capita,Consumo material interno per cápita
2011,10.7,toneladas per capita,Consumo material interno per cápita
2012,9.68,toneladas per capita,Consumo material interno per cápita
2013,8.35,toneladas per capita,Consumo material interno per cápita
2014,9.03,toneladas per capita,Consumo material interno per cápita
2015,10.95,toneladas per capita,Consumo material interno per cápita
2016,9.89,toneladas per capita,Consumo material interno per cápita
2017,12.24,toneladas per capita,Consumo material interno per cápita
2018,13.04,toneladas per capita,Consumo material interno per cápita
2019,12.55,toneladas per capita,Consumo material interno per cápita
2020,10.46,toneladas per capita,Consumo material interno per cápita
2010,456.31,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2011,343.62,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2012,317.28,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2013,277.83,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2014,295.31,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2015,347.39,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2016,303.97,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2017,366.79,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2018,379.67,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2019,358.96,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2020,332.61,kg por cada 1.000 euros del PIB,Consumo material interno por PIB
2010,30845.48,Kilotoneladas,Consumo material interno en términos absolutos
2011,23308.77,Kilotoneladas,Consumo material interno en términos absolutos
2012,21098.56,Kilotoneladas,Consumo material interno en términos absolutos
2013,18163.85,Kilotoneladas,Consumo material interno en términos absolutos
2014,19620.03,Kilotoneladas,Consumo material interno en términos absolutos
2015,23794.72,Kilotoneladas,Consumo material interno en términos absolutos
2016,21507.87,Kilotoneladas,Consumo material interno en términos absolutos
2017,26656.58,Kilotoneladas,Consumo material interno en términos absolutos
2018,28476.48,Kilotoneladas,Consumo material interno en términos absolutos
2019,27538.26,Kilotoneladas,Consumo material interno en términos absolutos
2020,22964.87,Kilotoneladas,Consumo material interno en términos absolutos
