Year,Series,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Units,GeoCode,Value
2022,EU_COV_PENSN,,,,,,,,Ehunekoa,,25.7
2023,EU_COV_PENSN,,,,,,,,Ehunekoa,,25.7
2023,EU_COV_PENSN,,,,,,,Abadiño,Ehunekoa,Abadiño,24.4
2022,EU_COV_PENSN,,,,,,,Abadiño,Ehunekoa,Abadiño,24.4
2023,EU_COV_PENSN,,,,,,,Abaltzisketa,Ehunekoa,Abaltzisketa,21.8
2022,EU_COV_PENSN,,,,,,,Abaltzisketa,Ehunekoa,Abaltzisketa,23.4
2022,EU_COV_PENSN,,,,,,,Abanto y Ciérvana-Abanto Zierbena,Ehunekoa,Abanto y Ciérvana-Abanto Zierbena,23.6
2023,EU_COV_PENSN,,,,,,,Abanto y Ciérvana-Abanto Zierbena,Ehunekoa,Abanto y Ciérvana-Abanto Zierbena,23.9
2023,EU_COV_PENSN,,,,,,,Aduna,Ehunekoa,Aduna,18.9
2022,EU_COV_PENSN,,,,,,,Aduna,Ehunekoa,Aduna,19.5
2023,EU_COV_PENSN,,,,,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,21.4
2022,EU_COV_PENSN,,,,,,,Agurain/Salvatierra,Ehunekoa,Agurain/Salvatierra,21.0
2022,EU_COV_PENSN,,,,,,,Aia,Ehunekoa,Aia,20.1
2023,EU_COV_PENSN,,,,,,,Aia,Ehunekoa,Aia,20.2
2023,EU_COV_PENSN,,,,,,,Aizarnazabal,Ehunekoa,Aizarnazabal,23.1
2022,EU_COV_PENSN,,,,,,,Aizarnazabal,Ehunekoa,Aizarnazabal,23.1
2023,EU_COV_PENSN,,,,,,,Ajangiz,Ehunekoa,Ajangiz,27.2
2022,EU_COV_PENSN,,,,,,,Ajangiz,Ehunekoa,Ajangiz,27.4
2022,EU_COV_PENSN,,,,,,,Albiztur,Ehunekoa,Albiztur,27.9
