Year,Energia iturri berriztagarria,Units,Lurraldea,Eskualdea,Udalerria,GeoCode,Value
2010,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,341.01
2011,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,349.78
2012,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,357.48
2013,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,374.71
2014,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,377.25
2015,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,376.6
2016,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,376.31
2017,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,374.27
2018,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,386.35
2019,Fotovoltaikoa,Watt per capita,Araba/Álava,,,Araba/Álava,432.45
2010,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,705.48
2011,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,685.07
2012,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,691.1
2013,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,674.84
2014,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,684.39
2015,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,690.87
2016,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,678.61
2017,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,670.24
2018,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,686.5
2019,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,686.62
2020,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,712.22
2021,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,715.64
2022,Fotovoltaikoa,Watt per capita,,,Alegría-Dulantzi,Alegría-Dulantzi,733.88
2010,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,106.28
2011,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,106.33
2012,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,105.59
2013,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.77
2014,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.78
2015,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.47
2016,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,104.35
2017,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,103.9
2018,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,122.66
2019,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,135.43
2020,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,139.81
2021,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,186.39
2022,Fotovoltaikoa,Watt per capita,,,Amurrio,Amurrio,198.38
2010,Fotovoltaikoa,Watt per capita,,,Aramaio,Aramaio,92.29
