Year,Series,Units,Value
2010,Barne-kontsumo materiala per capita,tonak per capita,14.2
2011,Barne-kontsumo materiala per capita,tonak per capita,10.7
2012,Barne-kontsumo materiala per capita,tonak per capita,9.68
2013,Barne-kontsumo materiala per capita,tonak per capita,8.35
2014,Barne-kontsumo materiala per capita,tonak per capita,9.03
2015,Barne-kontsumo materiala per capita,tonak per capita,10.95
2016,Barne-kontsumo materiala per capita,tonak per capita,9.89
2017,Barne-kontsumo materiala per capita,tonak per capita,12.24
2018,Barne-kontsumo materiala per capita,tonak per capita,13.04
2019,Barne-kontsumo materiala per capita,tonak per capita,12.55
2020,Barne-kontsumo materiala per capita,tonak per capita,10.46
2010,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,456.31
2011,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,343.62
2012,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,317.28
2013,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,277.83
2014,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,295.31
2015,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,347.39
2016,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,303.97
2017,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,366.79
2018,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,379.67
2019,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,358.96
2020,Barne-kontsumo materiala BPGaren arabera,kg BPGko 1.000 euroko,332.61
2010,Barne-kontsumo materiala balio absolututan,Kilotonalda,30845.48
2011,Barne-kontsumo materiala balio absolututan,Kilotonalda,23308.77
2012,Barne-kontsumo materiala balio absolututan,Kilotonalda,21098.56
2013,Barne-kontsumo materiala balio absolututan,Kilotonalda,18163.85
2014,Barne-kontsumo materiala balio absolututan,Kilotonalda,19620.03
2015,Barne-kontsumo materiala balio absolututan,Kilotonalda,23794.72
2016,Barne-kontsumo materiala balio absolututan,Kilotonalda,21507.87
2017,Barne-kontsumo materiala balio absolututan,Kilotonalda,26656.58
2018,Barne-kontsumo materiala balio absolututan,Kilotonalda,28476.48
2019,Barne-kontsumo materiala balio absolututan,Kilotonalda,27538.26
2020,Barne-kontsumo materiala balio absolututan,Kilotonalda,22964.87
