Year,Value,Units,Series
2010,14.2,tonak per capita,Barne-kontsumo materiala per capita
2011,10.7,tonak per capita,Barne-kontsumo materiala per capita
2012,9.68,tonak per capita,Barne-kontsumo materiala per capita
2013,8.35,tonak per capita,Barne-kontsumo materiala per capita
2014,9.03,tonak per capita,Barne-kontsumo materiala per capita
2015,10.95,tonak per capita,Barne-kontsumo materiala per capita
2016,9.89,tonak per capita,Barne-kontsumo materiala per capita
2017,12.24,tonak per capita,Barne-kontsumo materiala per capita
2018,13.04,tonak per capita,Barne-kontsumo materiala per capita
2019,12.55,tonak per capita,Barne-kontsumo materiala per capita
2020,10.46,tonak per capita,Barne-kontsumo materiala per capita
2010,456.31,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2011,343.62,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2012,317.28,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2013,277.83,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2014,295.31,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2015,347.39,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2016,303.97,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2017,366.79,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2018,379.67,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2019,358.96,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2020,332.61,kg BPGko 1.000 euroko,Barne-kontsumo materiala BPGaren arabera
2010,30845.48,Kilotonalda,Barne-kontsumo materiala balio absolututan
2011,23308.77,Kilotonalda,Barne-kontsumo materiala balio absolututan
2012,21098.56,Kilotonalda,Barne-kontsumo materiala balio absolututan
2013,18163.85,Kilotonalda,Barne-kontsumo materiala balio absolututan
2014,19620.03,Kilotonalda,Barne-kontsumo materiala balio absolututan
2015,23794.72,Kilotonalda,Barne-kontsumo materiala balio absolututan
2016,21507.87,Kilotonalda,Barne-kontsumo materiala balio absolututan
2017,26656.58,Kilotonalda,Barne-kontsumo materiala balio absolututan
2018,28476.48,Kilotonalda,Barne-kontsumo materiala balio absolututan
2019,27538.26,Kilotonalda,Barne-kontsumo materiala balio absolututan
2020,22964.87,Kilotonalda,Barne-kontsumo materiala balio absolututan
