Year,Series,Sexo,Cobertura,Residencia,Discapacidad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,EU_COV_PENSN,,,,,,,,PT,,25.7
2023,EU_COV_PENSN,,,,,,,,PT,,25.7
2023,EU_COV_PENSN,,,,,,,ES48001,PT,ES48001,24.4
2022,EU_COV_PENSN,,,,,,,ES48001,PT,ES48001,24.4
2023,EU_COV_PENSN,,,,,,,ES20001,PT,ES20001,21.8
2022,EU_COV_PENSN,,,,,,,ES20001,PT,ES20001,23.4
2022,EU_COV_PENSN,,,,,,,ES48002,PT,ES48002,23.6
2023,EU_COV_PENSN,,,,,,,ES48002,PT,ES48002,23.9
2023,EU_COV_PENSN,,,,,,,ES20002,PT,ES20002,18.9
2022,EU_COV_PENSN,,,,,,,ES20002,PT,ES20002,19.5
2023,EU_COV_PENSN,,,,,,,ES01051,PT,ES01051,21.4
2022,EU_COV_PENSN,,,,,,,ES01051,PT,ES01051,21.0
2022,EU_COV_PENSN,,,,,,,ES20016,PT,ES20016,20.1
2023,EU_COV_PENSN,,,,,,,ES20016,PT,ES20016,20.2
2023,EU_COV_PENSN,,,,,,,ES20003,PT,ES20003,23.1
2022,EU_COV_PENSN,,,,,,,ES20003,PT,ES20003,23.1
2023,EU_COV_PENSN,,,,,,,ES48911,PT,ES48911,27.2
2022,EU_COV_PENSN,,,,,,,ES48911,PT,ES48911,27.4
2022,EU_COV_PENSN,,,,,,,ES20004,PT,ES20004,27.9
2023,EU_COV_PENSN,,,,,,,ES20004,PT,ES20004,26.5
2022,EU_COV_PENSN,,,,,,,ES20005,PT,ES20005,25.3
2023,EU_COV_PENSN,,,,,,,ES20005,PT,ES20005,24.6
2022,EU_COV_PENSN,,,,,,,ES01001,PT,ES01001,13.3
2023,EU_COV_PENSN,,,,,,,ES01001,PT,ES01001,13.6
2022,EU_COV_PENSN,,,,,,,ES20006,PT,ES20006,24.5
2023,EU_COV_PENSN,,,,,,,ES20006,PT,ES20006,24.2
2023,EU_COV_PENSN,,,,,,,ES48912,PT,ES48912,25.8
2022,EU_COV_PENSN,,,,,,,ES48912,PT,ES48912,25.8
2023,EU_COV_PENSN,,,,,,,ES20906,PT,ES20906,22.9
2022,EU_COV_PENSN,,,,,,,ES20906,PT,ES20906,22.2
2023,EU_COV_PENSN,,,,,,,ES20007,PT,ES20007,23.1
2022,EU_COV_PENSN,,,,,,,ES20007,PT,ES20007,23.1
2022,EU_COV_PENSN,,,,,,,ES20008,PT,ES20008,29.5
2023,EU_COV_PENSN,,,,,,,ES20008,PT,ES20008,30.6
2022,EU_COV_PENSN,,,,,,,ES48003,PT,ES48003,23.0
2023,EU_COV_PENSN,,,,,,,ES48003,PT,ES48003,23.2
2023,EU_COV_PENSN,,,,,,,ES48004,PT,ES48004,34.5
2022,EU_COV_PENSN,,,,,,,ES48004,PT,ES48004,32.1
2023,EU_COV_PENSN,,,,,,,ES01002,PT,ES01002,24.9
2022,EU_COV_PENSN,,,,,,,ES01002,PT,ES01002,24.7
2023,EU_COV_PENSN,,,,,,,ES20009,PT,ES20009,26.2
2022,EU_COV_PENSN,,,,,,,ES20009,PT,ES20009,26.2
2023,EU_COV_PENSN,,,,,,,ES20010,PT,ES20010,21.8
2022,EU_COV_PENSN,,,,,,,ES20010,PT,ES20010,21.5
2023,EU_COV_PENSN,,,,,,,ES20011,PT,ES20011,24.6
2022,EU_COV_PENSN,,,,,,,ES20011,PT,ES20011,24.4
2022,EU_COV_PENSN,,,,,,,ES01049,PT,ES01049,20.8
2023,EU_COV_PENSN,,,,,,,ES01049,PT,ES01049,19.1
2022,EU_COV_PENSN,,,,,,,ES48005,PT,ES48005,12.4
2023,EU_COV_PENSN,,,,,,,ES48005,PT,ES48005,12.4
2022,EU_COV_PENSN,,,,,,,ES20012,PT,ES20012,22.2
2023,EU_COV_PENSN,,,,,,,ES20012,PT,ES20012,22.6
2023,EU_COV_PENSN,,,,,,,ES01003,PT,ES01003,28.8
2022,EU_COV_PENSN,,,,,,,ES01003,PT,ES01003,29.3
2023,EU_COV_PENSN,,,,,,,ES48006,PT,ES48006,19.9
2022,EU_COV_PENSN,,,,,,,ES48006,PT,ES48006,20.0
2023,EU_COV_PENSN,,,,,,,ES48093,PT,ES48093,22.7
2022,EU_COV_PENSN,,,,,,,ES48093,PT,ES48093,22.8
2022,EU_COV_PENSN,,,,,,,ES20013,PT,ES20013,26.6
2023,EU_COV_PENSN,,,,,,,ES20013,PT,ES20013,26.8
