Year,Value,Units,Series,GeoCode
2022,25.7,PT,EU_COV_PENSN,
2023,25.7,PT,EU_COV_PENSN,
2023,52.5,PER_1000_POP,EU_COV_RGI,
2020,50.9,PER_1000_POP,EU_COV_RGI,
2019,50.9,PER_1000_POP,EU_COV_RGI,
2022,53.5,PER_1000_POP,EU_COV_RGI,
2021,53.0,PER_1000_POP,EU_COV_RGI,
2017,42.7,PLAZA,EU_COV_RESI,
2016,43.3,PLAZA,EU_COV_RESI,
2019,42.4,PLAZA,EU_COV_RESI,
2018,42.5,PLAZA,EU_COV_RESI,
2010,46.8,PLAZA,EU_COV_RESI,
2015,43.2,PLAZA,EU_COV_RESI,
2011,46.1,PLAZA,EU_COV_RESI,
2014,43.5,PLAZA,EU_COV_RESI,
2013,44.1,PLAZA,EU_COV_RESI,
2017,9.3,PLAZA,EU_COV_DIA,
2018,9.1,PLAZA,EU_COV_DIA,
2019,9.2,PLAZA,EU_COV_DIA,
2013,9.2,PLAZA,EU_COV_DIA,
2014,9.3,PLAZA,EU_COV_DIA,
2010,9.0,PLAZA,EU_COV_DIA,
2016,9.4,PLAZA,EU_COV_DIA,
2015,9.3,PLAZA,EU_COV_DIA,
2011,9.0,PLAZA,EU_COV_DIA,
