Year,Value,Units,Series
2010,14.2,T_PER_CAPITA,EN_MAT_DOMCMPC
2011,10.7,T_PER_CAPITA,EN_MAT_DOMCMPC
2012,9.68,T_PER_CAPITA,EN_MAT_DOMCMPC
2013,8.35,T_PER_CAPITA,EN_MAT_DOMCMPC
2014,9.03,T_PER_CAPITA,EN_MAT_DOMCMPC
2015,10.95,T_PER_CAPITA,EN_MAT_DOMCMPC
2016,9.89,T_PER_CAPITA,EN_MAT_DOMCMPC
2017,12.24,T_PER_CAPITA,EN_MAT_DOMCMPC
2018,13.04,T_PER_CAPITA,EN_MAT_DOMCMPC
2019,12.55,T_PER_CAPITA,EN_MAT_DOMCMPC
2020,10.46,T_PER_CAPITA,EN_MAT_DOMCMPC
2010,456.31,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2011,343.62,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2012,317.28,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2013,277.83,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2014,295.31,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2015,347.39,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2016,303.97,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2017,366.79,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2018,379.67,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2019,358.96,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2020,332.61,KG_PER_GDP_1000_EUR,EN_MAT_DOMCMPG
2010,30845.48,KT,EN_MAT_DOMCMPT
2011,23308.77,KT,EN_MAT_DOMCMPT
2012,21098.56,KT,EN_MAT_DOMCMPT
2013,18163.85,KT,EN_MAT_DOMCMPT
2014,19620.03,KT,EN_MAT_DOMCMPT
2015,23794.72,KT,EN_MAT_DOMCMPT
2016,21507.87,KT,EN_MAT_DOMCMPT
2017,26656.58,KT,EN_MAT_DOMCMPT
2018,28476.48,KT,EN_MAT_DOMCMPT
2019,27538.26,KT,EN_MAT_DOMCMPT
2020,22964.87,KT,EN_MAT_DOMCMPT
