Value,Disaggregation combinations using this value,Number of indicators
ES0101,10,1
ES0102,10,1
ES0103,10,1
ES0104,10,1
ES0105,10,1
ES0106,10,1
ES2001,10,1
ES2002,10,1
ES2003,10,1
ES2004,10,1
ES2005,10,1
ES2006,10,1
ES2007,10,1
ES4801,10,1
ES4802,10,1
ES4803,10,1
ES4804,10,1
ES4805,10,1
ES4806,10,1
ES4807,10,1
EU0101,1,1
EU0102,3,1
EU0103,3,1
EU0104,2,1
EU0105,4,1
EU0106,5,1
EU2001,5,1
EU2002,5,1
EU2003,3,1
EU2004,5,1
EU2005,5,1
EU2006,3,1
EU2007,5,1
EU4801,3,1
EU4802,5,1
EU4803,3,1
EU4804,5,1
EU4805,5,1
EU4806,3,1
EU4807,5,1
