Value,Disaggregation combinations using this value,Number of indicators
ES01001,15,2
ES01002,15,2
ES01003,15,2
ES01004,15,2
ES01006,13,2
ES01008,13,2
ES01009,13,2
ES01010,15,2
ES01011,15,2
ES01013,13,2
ES01014,14,2
ES01016,14,2
ES01017,14,2
ES01018,15,2
ES01019,13,2
ES01020,13,2
ES01021,15,2
ES01022,13,2
ES01023,15,2
ES01027,15,2
ES01028,13,2
ES01030,15,2
ES01031,13,2
ES01032,13,2
ES01033,13,2
ES01034,15,2
ES01036,15,2
ES01037,15,2
ES01039,15,2
ES01041,15,2
ES01042,15,2
ES01043,13,2
ES01044,15,2
ES01046,12,2
ES01047,15,2
ES01049,15,2
ES01051,13,2
ES01052,13,2
ES01053,13,2
ES01054,15,2
ES01055,13,2
ES01056,12,2
ES01057,15,2
ES01058,13,2
ES01059,15,2
ES01060,13,2
ES01061,15,2
ES01062,13,2
ES01063,15,2
ES01901,15,2
ES01902,12,2
ES20001,15,2
ES20002,15,2
ES20003,12,2
ES20004,15,2
ES20005,15,2
ES20006,13,2
ES20007,15,2
ES20008,13,2
ES20009,13,2
ES20010,13,2
ES20011,15,2
ES20012,15,2
ES20013,13,2
ES20014,15,2
ES20015,15,2
ES20016,15,2
ES20017,14,2
ES20018,15,2
ES20019,13,2
ES20020,14,2
ES20021,15,2
ES20022,13,2
ES20023,15,2
ES20024,15,2
ES20025,13,2
ES20026,15,2
ES20027,15,2
ES20028,15,2
ES20029,15,2
ES20030,15,2
ES20031,13,2
ES20032,13,2
ES20033,15,2
ES20034,13,2
ES20035,15,2
ES20036,15,2
ES20037,15,2
ES20038,15,2
ES20039,15,2
ES20040,15,2
ES20041,15,2
ES20042,15,2
ES20043,15,2
ES20044,13,2
ES20045,15,2
ES20046,13,2
ES20047,15,2
ES20048,15,2
ES20049,15,2
ES20050,15,2
ES20051,15,2
ES20052,15,2
ES20053,15,2
ES20054,13,2
ES20055,15,2
ES20056,15,2
ES20057,15,2
ES20058,15,2
ES20059,12,2
ES20060,15,2
ES20061,15,2
ES20062,15,2
ES20063,13,2
ES20064,15,2
ES20065,13,2
ES20066,15,2
ES20067,15,2
ES20068,15,2
ES20069,15,2
ES20070,15,2
ES20071,15,2
ES20072,15,2
ES20073,15,2
ES20074,15,2
ES20075,13,2
ES20076,15,2
ES20077,15,2
ES20078,15,2
ES20079,15,2
ES20080,15,2
ES20081,15,2
ES20901,15,2
ES20902,15,2
ES20903,15,2
ES20904,15,2
ES20905,15,2
ES20906,15,2
ES20907,15,2
ES48001,15,2
ES48002,15,2
ES48003,15,2
ES48004,15,2
ES48005,15,2
ES48006,15,2
ES48007,13,2
ES48008,15,2
ES48009,15,2
ES48010,15,2
ES48011,15,2
ES48012,15,2
ES48013,15,2
ES48014,15,2
ES48015,15,2
ES48016,15,2
ES48017,15,2
ES48018,15,2
ES48019,12,2
ES48020,15,2
ES48021,15,2
ES48022,15,2
ES48023,13,2
ES48024,13,2
ES48025,15,2
ES48026,13,2
ES48027,15,2
ES48028,15,2
ES48029,15,2
ES48030,15,2
ES48031,15,2
ES48032,15,2
ES48033,15,2
ES48034,15,2
ES48035,15,2
ES48036,15,2
ES48037,15,2
ES48038,15,2
ES48039,15,2
ES48040,15,2
ES48041,15,2
ES48042,15,2
ES48043,15,2
ES48044,15,2
ES48045,15,2
ES48046,15,2
ES48047,15,2
ES48048,15,2
ES48049,15,2
ES48050,15,2
ES48051,15,2
ES48052,15,2
ES48053,15,2
ES48054,15,2
ES48055,15,2
ES48056,15,2
ES48057,15,2
ES48058,12,2
ES48059,13,2
ES48060,15,2
ES48061,15,2
ES48062,15,2
ES48063,15,2
ES48064,15,2
ES48065,15,2
ES48066,14,2
ES48067,15,2
ES48068,15,2
ES48069,15,2
ES48070,15,2
ES48071,15,2
ES48072,15,2
ES48073,15,2
ES48074,15,2
ES48075,13,2
ES48076,15,2
ES48077,15,2
ES48078,15,2
ES48079,15,2
ES48080,15,2
ES48081,15,2
ES48082,15,2
ES48083,15,2
ES48084,15,2
ES48085,15,2
ES48086,15,2
ES48087,15,2
ES48088,15,2
ES48089,15,2
ES48090,15,2
ES48091,15,2
ES48092,13,2
ES48093,15,2
ES48094,15,2
ES48095,15,2
ES48096,13,2
ES48097,15,2
ES48901,15,2
ES48902,15,2
ES48903,15,2
ES48904,15,2
ES48905,15,2
ES48906,15,2
ES48907,15,2
ES48908,15,2
ES48909,15,2
ES48910,13,2
ES48911,15,2
ES48912,13,2
ES48913,13,2
ES48914,14,2
ES48915,15,2
